,Fold,rmse,mae,sde,smape,Model,,,,,,,,
0,1,22.7426,17.8061,14.1482,28.6732,IGANN_LSTM_HYBRID_DS1,,,,,11.22162225,8.312,6.431026883,20.7899
1,2,25.9048,22.3191,13.1498,38.1581,IGANN_LSTM_HYBRID_DS1,,,,,,,,
2,3,14.5437,11.0768,9.4246,24.765,IGANN_LSTM_HYBRID_DS1,,,,,,,,
3,4,19.6943,15.0981,12.6457,41.9132,IGANN_LSTM_HYBRID_DS1,,,,,33.96505067,29.39354765,17.6919,58.0854288
4,5,20.2344,15.9156,12.495,43.4665,IGANN_LSTM_HYBRID_DS1,,,,,,,,
5,6,19.5096,14.7785,12.7365,38.423,IGANN_LSTM_HYBRID_DS1,,,,,,,,
6,7,17.9545,14.2533,10.9182,39.6057,IGANN_LSTM_HYBRID_DS1,,,,,,,,
7,8,18.9437,13.7102,13.0727,34.4054,IGANN_LSTM_HYBRID_DS1,,,,,,,,
8,9,19.3301,13.4565,13.8772,37.2951,IGANN_LSTM_HYBRID_DS1,,,,,,,,
9,1,21.5884,17.4248,12.745,30.0696,XGBOOST_LSTM_Hybrid_DS1,,,,,,,,
10,2,21.7419,18.216,11.8697,31.8173,XGBOOST_LSTM_Hybrid_DS1,,,,,,,,
11,3,11.4989,8.312,7.9458,20.7899,XGBOOST_LSTM_Hybrid_DS1,,,,,,,,
12,4,16.4729,12.5157,10.7104,38.6261,XGBOOST_LSTM_Hybrid_DS1,,,,,,,,
13,5,16.1263,11.9772,10.7984,38.0228,XGBOOST_LSTM_Hybrid_DS1,,,,,,,,
14,6,18.196,13.5623,12.1309,37.4721,XGBOOST_LSTM_Hybrid_DS1,,,,,,,,
15,7,17.4773,13.7294,10.8147,38.7231,XGBOOST_LSTM_Hybrid_DS1,,,,,,,,
16,8,19.8833,14.6687,13.4228,38.2221,XGBOOST_LSTM_Hybrid_DS1,,,,,,,,
17,9,20.6334,13.9399,15.2124,37.0978,XGBOOST_LSTM_Hybrid_DS1,,,,,,,,
18,1,24.5038,20.1486,13.9452,32.311,LSTM_GAM_HYBRID_DS1,,,,,,,,
19,2,25.8709,21.9376,13.7131,36.3666,LSTM_GAM_HYBRID_DS1,,,,,,,,
20,3,16.5726,12.9836,10.2994,36.5496,LSTM_GAM_HYBRID_DS1,,,,,,,,
21,4,17.469,13.1982,11.4443,42.4893,LSTM_GAM_HYBRID_DS1,,,,,,,,
22,5,15.6058,11.8236,10.1854,37.9734,LSTM_GAM_HYBRID_DS1,,,,,,,,
23,6,19.5436,14.6651,12.9185,39.0655,LSTM_GAM_HYBRID_DS1,,,,,,,,
24,7,17.1013,13.4587,10.5507,37.256,LSTM_GAM_HYBRID_DS1,,,,,,,,
25,8,24.3972,18.6097,15.7765,43.5814,LSTM_GAM_HYBRID_DS1,,,,,,,,
26,9,21.5297,14.244,16.1442,37.6883,LSTM_GAM_HYBRID_DS1,,,,,,,,
27,1,20.37423747,17.75997572,9.984628918,36.21878799,PROPHET_DS1,,,,,,,,
28,2,11.22162225,9.196015389,6.431026883,24.06806021,PROPHET_DS1,,,,,,,,
29,3,19.99795262,17.04806056,10.4537907,39.45539253,PROPHET_DS1,,,,,,,,
30,4,27.04528274,23.111292,14.0469036,58.0854288,PROPHET_DS1,,,,,,,,
31,5,21.22843468,16.24046165,13.67091236,45.27991223,PROPHET_DS1,,,,,,,,
32,6,21.59941938,17.69315067,12.38900065,43.58811079,PROPHET_DS1,,,,,,,,
33,7,33.96505067,29.39354765,17.01893133,56.52018462,PROPHET_DS1,,,,,,,,
34,8,19.78215915,14.39284837,13.57128353,36.15445915,PROPHET_DS1,,,,,,,,
35,9,29.84312418,24.07576676,17.63432777,45.83045263,PROPHET_DS1,,,,,,,,
36,1,20.71608487,17.26892944,11.44291257,29.24300226,XGBOOST_DS1,,,,,,,,
37,2,24.5527511,21.35863944,12.10975259,35.35862257,XGBOOST_DS1,,,,,,,,
38,3,13.37072952,9.934992445,8.948314538,24.55308436,XGBOOST_DS1,,,,,,,,
39,4,16.82973738,12.63065827,11.12234381,37.79446145,XGBOOST_DS1,,,,,,,,
40,5,16.27784925,12.32234502,10.63617363,39.28491998,XGBOOST_DS1,,,,,,,,
41,6,17.94962343,13.26590147,12.09151932,37.40603756,XGBOOST_DS1,,,,,,,,
