,fold,actual_mean,actual_std,predicted_mean,predicted_std,model
0,1,76.57114247311829,29.218222934533244,88.72072695215054,42.52085347361266,IGANN_LSTM_HYBRID_DS1
1,2,61.335847701149426,21.30567466881343,79.64254408395115,33.36782396415222,IGANN_LSTM_HYBRID_DS1
2,3,64.68216397849463,26.28837816736225,66.01712525915322,25.10045920597005,IGANN_LSTM_HYBRID_DS1
3,4,62.384236111111115,41.408785643674875,56.82733399111111,33.628512450475064,IGANN_LSTM_HYBRID_DS1
4,5,67.42039650537635,44.17657859366547,78.85808534879033,39.02697336378406,IGANN_LSTM_HYBRID_DS1
5,6,72.89647222222222,47.747058793402594,76.72478223923612,41.85180633779835,IGANN_LSTM_HYBRID_DS1
6,7,67.69913978494624,46.23552142875989,75.90612612326613,47.815885788497454,IGANN_LSTM_HYBRID_DS1
7,8,82.01253360215054,49.50141112973114,70.4126296825672,49.50447232992886,IGANN_LSTM_HYBRID_DS1
8,9,78.5640948275862,46.49847551117066,79.77611223272989,38.191044429629876,IGANN_LSTM_HYBRID_DS1
9,1,76.57114247311829,29.218222934533244,89.19203851857527,40.78612337363892,XGBOOST_LSTM_Hybrid_DS1
10,2,61.335847701149426,21.30567466881343,76.13876459698277,31.406225009705455,XGBOOST_LSTM_Hybrid_DS1
11,3,64.68216397849463,26.28837816736225,65.85365583346774,24.615039261491734,XGBOOST_LSTM_Hybrid_DS1
12,4,62.384236111111115,41.408785643674875,56.604481560347224,34.51998329228057,XGBOOST_LSTM_Hybrid_DS1
13,5,67.42039650537635,44.17657859366547,71.83906052831989,36.7684263219973,XGBOOST_LSTM_Hybrid_DS1
14,6,72.89647222222222,47.747058793402594,71.39392755384722,44.0181956615137,XGBOOST_LSTM_Hybrid_DS1
15,7,67.69913978494624,46.23552142875989,75.86272704875,46.529759413441646,XGBOOST_LSTM_Hybrid_DS1
16,8,82.01253360215054,49.50141112973114,71.3331430838172,51.578334184023674,XGBOOST_LSTM_Hybrid_DS1
17,9,78.5640948275862,46.49847551117066,83.07032705972702,39.11897178802127,XGBOOST_LSTM_Hybrid_DS1
18,1,76.57114247311829,29.218222934533244,90.3312370186156,42.87629176132331,LSTM_GAM_HYBRID_DS1
19,2,61.335847701149426,21.30567466881343,79.09068753712644,34.89858019310112,LSTM_GAM_HYBRID_DS1
20,3,64.68216397849463,26.28837816736225,60.64084918345431,34.71118207435747,LSTM_GAM_HYBRID_DS1
21,4,62.384236111111115,41.408785643674875,55.29525785786111,36.066688265883776,LSTM_GAM_HYBRID_DS1
22,5,67.42039650537635,44.17657859366547,68.20238637251344,42.797470015949386,LSTM_GAM_HYBRID_DS1
23,6,72.89647222222222,47.747058793402594,71.00554628180556,46.51351765133955,LSTM_GAM_HYBRID_DS1
24,7,67.69913978494624,46.23552142875989,72.66045237857527,47.37019478600375,LSTM_GAM_HYBRID_DS1
25,8,82.01253360215054,49.50141112973114,66.75911338349462,48.10296960234977,LSTM_GAM_HYBRID_DS1
26,9,78.5640948275862,46.49847551117066,81.34059719998564,37.23648059581579,LSTM_GAM_HYBRID_DS1
27,1,76.57114247311829,29.218222934533244,60.27746581926994,28.68305166086773,PROPHET_DS1
28,2,61.335847701149426,21.30567466881343,57.66154746777248,23.92128894427281,PROPHET_DS1
29,3,64.68216397849463,26.28837816736225,49.573477167781256,23.150648662676016,PROPHET_DS1
30,4,62.384236111111115,41.408785643674875,45.979548014617436,23.786774034159674,PROPHET_DS1
31,5,67.42039650537635,44.17657859366547,65.46421072457501,31.73784259769786,PROPHET_DS1
32,6,72.89647222222222,47.747058793402594,84.44166323489279,42.26369800424515,PROPHET_DS1
33,7,67.69913978494624,46.23552142875989,94.9282059532212,48.20287837609015,PROPHET_DS1
34,8,82.01253360215054,49.50141112973114,81.06953949339423,39.280818381244,PROPHET_DS1
35,9,78.5640948275862,46.49847551117066,98.29389877494609,39.780522607471106,PROPHET_DS1
36,1,76.57114247311829,29.218222934533244,87.57305698642473,39.811945813555134,XGBOOST_DS1
37,2,61.335847701149426,21.30567466881343,80.23422380100575,30.375173733411103,XGBOOST_DS1
38,3,64.68216397849463,26.28837816736225,67.41815655370968,26.83626140012557,XGBOOST_DS1
39,4,62.384236111111115,41.408785643674875,58.97269513247222,33.80138284503769,XGBOOST_DS1
40,5,67.42039650537635,44.17657859366547,70.38383749747312,37.5795187308387,XGBOOST_DS1
41,6,72.89647222222222,47.747058793402594,68.87224393359722,42.5195916827458,XGBOOST_DS1
42,7,67.69913978494624,46.23552142875989,74.1937497052285,44.938327834965904,XGBOOST_DS1
43,8,82.01253360215054,49.50141112973114,68.53713116917743,49.11033550221403,XGBOOST_DS1
